[Tue 10:05]	<manu-db>	Agenda: http://lists.w3.org/Archives/Public/public-linked-json/2013May/0029.html
[Tue 10:06]	<manu-db>	scribe: dlongley
[Tue 10:06]	<manu-db>	Manu: Any updates to the agenda?
[Tue 10:06]	<dlongley>	mlnt: quick question, i think i caught up on the @base discussion, but was there any thing controversial there?
[Tue 10:07]	<dlongley>	mlnt: the question was whether or not we allowed relative urls in base?
[Tue 10:08]	<dlongley>	gkellogg: other rdf serializations allow relative urls for base, even RDFa does, so long as it resolves to an absolute url in the end
[Tue 10:09]	<dlongley>	manu-db: i thought we did something different with RDFa, let's discuss now.
[Tue 10:09]	<manu-db>	Topic: JsonLdOptions base vs. @base
[Tue 10:09]	<manu-db>	https://github.com/json-ld/json-ld.org/issues/223
[Tue 10:10]	<dlongley>	manu-db: two issues to resolve, whether relative IRIs can be used with base and what the empty string does
[Tue 10:10]	<dlongley>	mlnt: i think that relative IRIs can get very messy
[Tue 10:11]	<dlongley>	mlnt: the spec is a bit fussy about @base anyway, we're not really explicit about how it handles it, we just say that you expand against the document base, we never say how that base is established
[Tue 10:11]	<dlongley>	mlnt: if you have a remote context with a base and it has a nested remote base context which one do you use?
[Tue 10:11]	<dlongley>	manu-db: i thought we decided that you use the one in the local document
[Tue 10:11]	<dlongley>	gkellogg: i think if base is resolved to an external remote document it causes lots of problems
[Tue 10:12]	<dlongley>	manu-db: i think devs could understand if base just resolved to the local documnet
[Tue 10:12]	<dlongley>	gkellogg: it complicates processing slightly but we could consider using @base in an external context illegal
[Tue 10:12]	<dlongley>	manu-db: we wouldn't even need to make it illegal if it just applies to the local document
[Tue 10:12]	<dlongley>	gkellogg: if we do @base: ".." how does that behave?
[Tue 10:13]	<dlongley>	mlnt: if you define a term and then you use that base and that base is different from anywhere else it gets weird, right now if you take your external context and put it in your document it just works
[Tue 10:14]	<dlongley>	manu-db: yeah, but if we allow @base in remote contexts then your local document doesn't have the right base
[Tue 10:14]	<dlongley>	mlnt: what's the use case, for a relative @base, why not just use relative IRIs in your document?
[Tue 10:14]	<dlongley>	manu-db: the use case (we've had two people bring this up) is for packaging
[Tue 10:15]	<dlongley>	manu-db: if files exist in directories further up in the tree that need to be referred to in a package that has no real absolute iri
[Tue 10:15]	<dlongley>	manu-db: how do you reference things like that easily?
[Tue 10:15]	<dlongley>	manu-db: one approach is to use relative IRIs everywhere the other is to set @base and use cleaner relative IRIs
[Tue 10:15]	<pkuyken>	q+
[Tue 10:15]	<voip-ld>	Added pkuyken to the speaker queue: pkuyken
[Tue 10:15]	<dlongley>	manu-db: i agree that it's not necessarily the best use case, but that's what it is
[Tue 10:16]	<dlongley>	mlnt: the other case is using @base in the test suite
[Tue 10:16]	<manu-db>	ack pkuyken
