[Tue 10:04]	<manu-db>	Agenda: http://lists.w3.org/Archives/Public/public-linked-json/2013May/0044.html
[Tue 10:05]	<voip-ld>	<unknown> (IAX2/diamondcard-12301) has joined the conference.
[Tue 10:05]	<pkuyken>	voip: 12301 is pkuyken
[Tue 10:05]	<voip-ld>	pkuyken is now associated with IAX2/diamondcard-12301.
[Tue 10:06]	<manu-db>	manu: Any updates to the agenda?
[Tue 10:06]	<gkellogg>	https://github.com/json-ld/json-ld.org/issues/246#issuecomment-17773737
[Tue 10:06]	<manu-db>	scribe: pkuyken
[Tue 10:06]	<pkuyken>	gkellogg: new issue brought up from link above
[Tue 10:07]	<manu-db>	voip: 12301 is pkuyken
[Tue 10:07]	<voip-ld>	pkuyken is now associated with IAX2/diamondcard-12301.
[Tue 10:07]	<manu-db>	voip: mute pkuyken
[Tue 10:07]	<voip-ld>	pkuyken has been muted.
[Tue 10:07]	<manu-db>	Topic: Implementation Updates
[Tue 10:08]	<pkuyken>	gregg: ruby implementation released some minor problems fixed (typos and missing steps)
[Tue 10:08]	<pkuyken>	... waiting to fix missing steps for talking with markus and others
[Tue 10:09]	<pkuyken>	gregg: more tests need to be added to look for errors
[Tue 10:10]	<pkuyken>	... sandro put out some additional tests as well
[Tue 10:10]	<pkuyken>	manu: freeze test suite before going to CR
[Tue 10:11]	<pkuyken>	sandro : can add tests after we go to CR
[Tue 10:11]	<pkuyken>	sandro: we need to get people running the test suite
[Tue 10:12]	<pkuyken>	gregg: important for json-ld to be handled by most important implementations, jenna, etc.
[Tue 10:12]	<stain>	https://github.com/jsonld-java/jsonld-java has been receiving minor patches recently by ansell and tristan
[Tue 10:12]	<pkuyken>	niklasl: no major movement on our part, mainly working with turtle
[Tue 10:13]	<niklasl>	his original source: https://github.com/tristan/jsonld-java
[Tue 10:13]	<pkuyken>	manu: Andy stopped working on the processor about 6 months ago because the spec was in too much flux. Tristan is working on getting it in shape in the near future
[Tue 10:14]	<pkuyken>	manu: Working on the JSON-LD normalization now. Should be in good shape for a Java implementation in the next few months
[Tue 10:14]	<manu-db>	Topic: RDF-ISSUE-129: Lossless conversion
[Tue 10:14]	<manu-db>	http://www.w3.org/2011/rdf-wg/track/issues/129
[Tue 10:15]	<pkuyken>	sandro: Working on some RDF issues in patch, such as when literals match case, etc. We were losing information such that triples don't match themselves often. example in email.
[Tue 10:16]	<pkuyken>	... Challenge with JSON being underspecified in numbers, different parsers have different parsing mechanisms.
[Tue 10:16]	|<--	PaulCapestany has left freenode (Quit: Computer has gone to sleep.)
[Tue 10:17]	<pkuyken>	... Basically, we might as well convert all native number types to json numbers
[Tue 10:17]	<pkuyken>	... don't convert decimal as most people use it to flag they care about exact precision
[Tue 10:18]	<pkuyken>	manu: we had a lot of conversations regarding round-tripping with json-ld
[Tue 10:18]	<pkuyken>	... idea of round tripping issues is well known. Don't use use datatypes flag in order to ensure proper data round-tripping.
[Tue 10:19]	<pkuyken>	sandro: add editorial comment to highlight the warning about round-tripping data issues.
[Tue 10:20]	<pkuyken>	manu: there are some comments, but they could be highlighted better. We need to be careful to not to overly restrict data conversion 32/64 bit conversions, etc.
[Tue 10:20]	<pkuyken>	sandro: don't pass around json-ld with native numbers unless you really don't care about your integrity
[Tue 10:21]	<pkuyken>	manu: we tried to be specific in guidance. It needs to be added to the spec. This situation is very application specific
[Tue 10:21]	<pkuyken>	q+
[Tue 10:21]	<voip-ld>	Added pkuyken to the speaker queue: pkuyken
[Tue 10:22]	<pkuyken>	manu: when data is published on the web today many assume that machine is 32bit capable.
[Tue 10:23]	<pkuyken>	manu: most web developers won't convert numbers by converting to int, etc. and marking it with the xml type
