[10:04]	<manu1>	Agenda: http://lists.w3.org/Archives/Public/public-linked-json/2012Aug/0018.html
[10:06]	<gkellogg>	scribe: gkellogg
[10:06]	<gkellogg>	http://greggkellogg.net/2012/08/21/json-ld-and-mongodb
[10:06]	<gkellogg>	Gregg describes talk he's giving at NoSQL Now!, slides are above, good feedback from folks.
[10:07]	<manu1>	Topic: DrupalCon discussion on JSON-LD
[10:07]	<manu1>	http://groups.drupal.org/node/249128
[10:07]	<gkellogg>	manu: Lin has asked what JSON-LD features should be used in Drupal.
[10:07]	<gkellogg>	… Two issues that were important have been re-opened: property generators and language map.
[10:08]	<gkellogg>	… When they were re-opened they became nervous about stability of JSON-LD.
[10:08]	<gkellogg>	… We need to discuss why they were re-opened, and what to do going forward.
[10:08]	<gkellogg>	… The message is that the features are unstable, and could go away, which is not true.
[10:09]	<gkellogg>	markus: The main reason they were opened was because the algorithms haven't been updated, and we haven't discussed how compaction works.
[10:09]	<gkellogg>	… In the property generators issue, there was a comment that this was supported, but the array-position wasn't.
[10:09]	<gkellogg>	… I thought we might want to discuss the array-position issue again.
[10:10]	<gkellogg>	… The main reason was to make sure that the algorithms are updated before the issue is closed.
[10:10]	<gkellogg>	markus: I had some question about our support for property generators.
[10:10]	<gkellogg>	manu: Perhaps we should discuss how compaction should work.
[10:11]	<gkellogg>	… the main thing is to signal to Drupal that we're not pulling the rug out from under them.
[10:11]	<gkellogg>	… We re-opened to make sure that all the work was completed, not that the feature was in doubt.
[10:11]	<mlnt>	https://github.com/json-ld/json-ld.org/issues/142#issuecomment-7866816
[10:12]	<niklasl>	q+
[10:12]	<voip-ld>	Added niklasl to the speaker queue: niklasl
[10:12]	<gkellogg>	manu: It's not just for drupal, we have a similar mechanism in RDFa, and other companies have indicated their need for it too.
[10:12]	<manu1>	ack niklasl
[10:12]	<voip-ld>	niklasl has the floor. The speaker queue is empty.
[10:12]	<gkellogg>	… It's not just for drupal, but they did provide motivation.
[10:13]	<gkellogg>	niklas: I understand that the mutliple-property feature could be seen as "un-pure" from a theoretical perspective. You should rely on inference and other things, but those are all ideals.
[10:13]	<gkellogg>	… This case supports a fairly easy way for both producers and consumers to manage such properties.
[10:14]	<gkellogg>	… The alternative would be to create different documents for different consumers, which isn't very useful.
[10:14]	<gkellogg>	… It's un-pure, but useful.
[10:14]	<gkellogg>	manu: I don't hear any objection to keeping the feature, we just need to work out details, specifically in compaction.
[10:15]	<manu1>	gkellogg: We may want to say right now that it's not addressed in compaction, it would allow us to close out this particular feature.
[10:15]	<manu1>	gkellogg: We could say that if we /do not/ describe anything happening in compaction, then we may not do anything.
[10:16]	<manu1>	gkellogg: The algorithm for compaction would be a bit different... more heavyweight.
[10:17]	<manu1>	gkellogg: I don't think we want to wrap these things together, we don't want to message that just because we haven't wrapped some of the API details up, that we're not going to support the feature.
[10:17]	<niklasl>	+1 for that
[10:17]	<gkellogg>	manu: we do a proposal that says "support both property-generators and language-maps; close issues; create new issues for compaction implications".
[10:17]	<gkellogg>	markus: you can't make use of these things without the API, so we need all parts.
