[10:00]	<manu1>	Agenda: http://lists.w3.org/Archives/Public/public-linked-json/2012Jul/0005.html
[10:01]	<voip-ld>	Niklas Lindström (SIP/192.168.3.19-00000007) has joined the conference.
[10:01]	<voip-ld>	Markus Lanthaler (SIP/sip.linphone.org-00000008) has joined the conference.
[10:02]	<voip-ld>	Dave Longley (SIP/6002-00000009) has joined the conference.
[10:03]	<voip-ld>	Gregg Kellogg (SIP/10.0.1.18-0000000a) has joined the conference.
[10:03]	<manu1>	scribe: manu1
[10:04]	<manu1>	Manu: Anybody had any more thoughts about @container: @language?
[10:04]	-->|	gkellogg (~gregg@c-98-248-150-91.hsd1.ca.comcast.net) has joined #json-ld
[10:04]	<manu1>	Niklas: I had thought about it a bit - my gluon stuff tracks it fairly closely - I think we can do it fairly simply.
[10:04]	<voip-ld>	David I. Lehn (SIP/71.171.19.12-0000000b) has joined the conference.
[10:05]	<manu1>	Manu: Any updates/changes to the Agenda?
[10:05]	<manu1>	gkellogg: I'm speaking today at Stanford, about JSON-LD... one of the folks will be with the Protoge group. Creating editors for vocabularies - can't show it more widely because it's work done for a client.
[10:05]	<manu1>	Manu: When is the NoSQL talk on JSON-LD?
[10:05]	<manu1>	gkellogg: In August at some point.
[10:06]	<manu1>	Topic: ISSUE-133: Add @container: @language
[10:06]	<manu1>	https://github.com/json-ld/json-ld.org/issues/133
[10:08]	<gkellogg>	q+
[10:08]	<voip-ld>	Added gkellogg to the speaker queue: gkellogg
[10:08]	<manu1>	manu: Are we making JSON-LD too complicated by adding this feature? Is it worth it?
[10:09]	<manu1>	gkellogg: The key discussion point was to be able to use object patterns where we're using array patterns right now. Object-patterns are good for using dot-pattern for accessing data.
[10:09]	<manu1>	Niklas: Yes, that's the gist of all of this - regarding complexity, it's not so much about the complexity of JSON-LD, spec-wise... it's more about what to expect as a reader/consumer of JSON-LD.
[10:10]	<manu1>	Niklas: The generic shape (E-A-V), we fold in a property value and use it as a key... it's fairly idiomatic JSON... well, JSON is used in a very wide range of data... JSON is a slice of data. There are always structures in JSON that don't make sense to put it in JSON-LD.
[10:11]	<manu1>	Niklas: Sometimes you have keys that come from certain view-related contexts that have no reasonable semantic representation. If you view JSON like that, and try to express those shapes as triples, you will get very strange entities.
[10:12]	<dlongley-db>	manu: When we convert to RDF from language maps (and similar) I think it's strange to RDF people. The shape of the data is different and we seem to hop around to generate the triples, it seems like it may be a little backwards for RDF people.
[10:12]	* manu1	thanks dlongley-db.
[10:13]	<manu1>	niklas: When you see well-shaped JSON, you see what the JSON-LD context should be... @container: @language and @container: @id - maybe @container: @type and @container: ANY_PROPERTY may be possible?
[10:13]	<manu1>	dlongley-db: Maybe we can let people create maps in any way that they want?
[10:14]	<dlongley-db>	manu: does anyone here have a handle on how to genericize this?
[10:14]	<manu1>	niklasl: If we say that "@container" can be used for all these cases... maybe @container defines the kind of objects ... if it's lists or sets, then you use an array... if not, maybe you use a map.
[10:15]	<gkellogg>	For value-map; in Expansion:
[10:15]	<gkellogg>	Before 2.2:
[10:15]	<gkellogg>	If active property is has @container: @language, and every key in element is of the form language (from BCP47) and does not map to an absolute IRI, the return value is an array constructed from the result of performing Value Expansion on each value using a copy of context with @language set to each key from element in turn.
[10:15]	<manu1>	niklasl: The exact property that you use is defined as the value of the container in the context.
[10:15]	<manu1>	gkellogg: The language above tweaks the processing rules a bit - when you expand, that pattern goes away.
[10:16]	<manu1>	niklasl: This is a specific part of the general suggestion - maybe language, just like @context, could be put into any context? Maybe it doesn't need to be put in literals... but likexml:lang, it can be put anywhere.
[10:17]	<manu1>	markus: You can still do that, right? Put @context anywhere and make it contain @language.
[10:17]	<manu1>	niklasl: Maybe this would make things more complex... maybe it would simplify @container: @language.
[10:17]	<manu1>	markus: This is getting complex if you have such subtrees... especially from the standpoint of compaction.
[10:18]	<manu1>	dlongley-db: We're still going to have to treat @language a little differently - it doesn't work in the same way as some of this other stuff.
[10:18]	<manu1>	niklasl: Right, but @container: FOO might act a little differently.
[10:20]	<dlongley-db>	manu: we need to try out some implementations for this, either we can try out some algorithms for the general case, or we could just implement @container: @language/@id since we have use cases for those ... and we could generalize later.
[10:20]	<dlongley-db>	manu: what we really need are some implementations to try this out, we don't need to talk about it because it would take a long time.
[10:20]	<manu1>	niklasl: @container: @id might be interesting for RDF/JSON people.
